ADC       mem64,reg64              [rm: 48 11 /r]                      X86_64
ADC       reg8,imm8                [oi: 80 /2 ib]
ADC       reg16,imm16              [oi: 66 83 /2 ib,s]
ADC       reg32,imm32              [oi: 83 /2 ib,s]
ADC       reg64,imm32              [oi: 48 83 /2 ib,s]                 X86_64
ADC       byte mem,imm8            [mi: 80 /2 ib]
ADC       word mem,imm16           [mi: 66 81 /2 iw]
ADC       dword mem,imm32          [mi: 81 /2 id]
ADC       qword mem,imm32          [mi: 48 81 /2 id]                   X86_64

SBB       reg8,reg8                [rm: 1a /r]
SBB       reg16,reg16              [rm: 66 1b /r]
SBB       reg32,reg32              [rm: 1b /r]
SBB       reg64,reg64              [rm: 48 1b /r]                      X86_64
SBB       reg8,mem8                [rm: 1a /r]
SBB       reg16,mem16              [rm: 66 1b /r]
SBB       reg32,mem32              [rm: 1b /r]
SBB       reg64,mem64              [rm: 48 1b /r]                      X86_64
SBB       mem8,reg8                [rm: 18 /r]
SBB       mem16,reg16              [rm: 66 19 /r]
SBB       mem32,reg32              [rm: 19 /r]
SBB       mem64,reg64              [rm: 48 19 /r]                      X86_64
SBB       reg8,imm8                [oi: 80 /3 ib]
SBB       reg16,imm16              [oi: 66 83 /3 ib,s]
SBB       reg32,imm32              [oi: 83 /3 ib,s]
SBB       reg64,imm32              [oi: 48 83 /3 ib,s]                 X86_64
SBB       byte mem,imm8            [mi: 80 /3 ib]
SBB       word mem,imm16           [mi: 66 81 /3 iw]
SBB       dword mem,imm32          [mi: 81 /3 id]
SBB       qword mem,imm32          [mi: 48 81 /3 id]                   X86_64

AND       reg8,reg8                [rm: 22 /r]
AND       reg16,reg16              [rm: 66 23 /r]
AND       reg32,reg32              [rm: 23 /r]
AND       reg64,reg64              [rm: 48 23 /r]                      X86_64
AND       reg8,mem8                [rm: 22 /r]
AND       reg16,mem16              [rm: 66 23 /r]
AND       reg32,mem32              [rm: 23 /r]
AND       reg64,mem64              [rm: 48 23 /r]                      X86_64
AND       mem8,reg8                [rm: 20 /r]
AND       mem16,reg16              [rm: 66 21 /r]
AND       mem32,reg32              [rm: 21 /r]
AND       mem64,reg64              [rm: 48 21 /r]                      X86_64
AND       reg8,imm8                [oi: 80 /4 ib]
AND       reg16,imm16              [oi: 66 83 /4 ib,s]
AND       reg32,imm32              [oi: 83 /4 ib,s]
AND       reg64,imm32              [oi: 48 83 /4 ib,s]                 X86_64
AND       byte mem,imm8            [mi: 80 /4 ib]
AND       word mem,imm16           [mi: 66 81 /4 iw]
AND       dword mem,imm32          [mi: 81 /4 id]
AND       qword mem,imm32          [mi: 48 81 /4 id]                   X86_64

SUB       reg8,reg8                [rm: 2a /r]
SUB       reg16,reg16              [rm: 66 2b /r]
SUB       reg32,reg32              [rm: 2b /r]
SUB       reg64,reg64              [rm: 48 2b /r]                      X86_64
SUB       reg8,mem8                [rm: 2a /r]
SUB       reg16,mem16              [rm: 66 2b /r]
SUB       reg32,mem32              [rm: 2b /r]
SUB       reg64,mem64              [rm: 48 2b /r]                      X86_64
SUB       mem8,reg8                [rm: 28 /r]
SUB       mem16,reg16              [rm: 66 29 /r]
SUB       mem32,reg32              [rm: 29 /r]
SUB       mem64,reg64              [rm: 48 29 /r]                      X86_64
SUB       reg8,imm8                [oi: 80 /5 ib]
SUB       reg16,imm16              [oi: 66 83 /5 ib,s]
SUB       reg32,imm32              [oi: 83 /5 ib,s]
SUB       reg64,imm32              [oi: 48 83 /5 ib,s]                 X86_64
SUB       byte mem,imm8            [mi: 80 /5 ib]
SUB       word mem,imm16           [mi: 66 81 /5 iw]
SUB       dword mem,imm32          [mi: 81 /5 id]
SUB       qword mem,imm32          [mi: 48 81 /5 id]                   X86_64

XOR       reg8,reg8                [rm: 32 /r]
XOR       reg16,reg16              [rm: 66 33 /r]
XOR       reg32,reg32              [rm: 33 /r]
XOR       reg64,reg64              [rm: 48 33 /r]                      X86_64
XOR       reg8,mem8                [rm: 32 /r]
XOR       reg16,mem16              [rm: 66 33 /r]
XOR       reg32,mem32              [rm: 33 /r]
XOR       reg64,mem64              [rm: 48 33 /r]                      X86_64
XOR       mem8,reg8                [rm: 30 /r]
XOR       mem16,reg16              [rm: 66 31 /r]
XOR       mem32,reg32              [rm: 31 /r]
XOR       mem64,reg64              [rm: 48 31 /r]                      X86_64
XOR       reg8,imm8                [oi: 80 /6 ib]
XOR       reg16,imm16              [oi: 66 83 /6 ib,s]
XOR       reg32,imm32              [oi: 83 /6 ib,s]
XOR       reg64,imm32              [oi: 48 83 /6 ib,s]                 X86_64
XOR       byte mem,imm8            [mi: 80 /6 ib]
XOR       word mem,imm16           [mi: 66 81 /6 iw]
XOR       dword mem,imm32          [mi: 81 /6 id]
XOR       qword mem,imm32          [mi: 48 81 /6 id]                   X86_64

CMP       reg8,reg8                [rm: 3a /r]
CMP       reg16,reg16              [rm: 66 3b /r]
CMP       reg32,reg32              [rm: 3b /r]
CMP       reg64,reg64              [rm: 48 3b /r]                      X86_64
CMP       reg8,mem8                [rm: 3a /r]
CMP       reg16,mem16              [rm: 66 3b /r]
CMP       reg32,mem32              [rm: 3b /r]
CMP       reg64,mem64              [rm: 48 3b /r]                      X86_64
CMP       mem8,reg8                [rm: 38 /r]
CMP       mem16,reg16              [rm: 66 39 /r]
CMP       mem32,reg32              [rm: 39 /r]
CMP       mem64,reg64              [rm: 48 39 /r]                      X86_64
CMP       reg8,imm8                [oi: 80 /7 ib]
CMP       reg16,imm16              [oi: 66 83 /7 ib,s]
CMP       reg32,imm32              [oi: 83 /7 ib,s]
CMP       reg64,imm32              [oi: 48 83 /7 ib,s]                 X86_64
CMP       byte mem,imm8            [mi: 80 /7 ib]
CMP       word mem,imm16           [mi: 66 81 /7 iw]
CMP       dword mem,imm32          [mi: 81 /7 id]
CMP       qword mem,imm32          [mi: 48 81 /7 id]                   X86_64

; --- Shift / Rotate (Group 2) ----------------------------------------------
RCL       reg8,1                   [rm: d0 /2]
RCL       reg16,1                  [rm: 66 d1 /2]
RCL       reg32,1                  [rm: d1 /2]
RCL       reg64,1                  [rm: 48 d1 /2]                      X86_64
RCL       reg8,imm8                [rmi: c0 /2 ib]
RCL       reg16,imm8               [rmi: 66 c1 /2 ib]
RCL       reg32,imm8               [rmi: c1 /2 ib]
RCL       reg64,imm8               [rmi: 48 c1 /2 ib]                  X86_64
RCL       reg8,cl                  [rm: d2 /2]
RCL       reg16,cl                 [rm: 66 d3 /2]
RCL       reg32,cl                 [rm: d3 /2]
RCL       reg64,cl                 [rm: 48 d3 /2]                      X86_64
RCL       byte mem,1               [rm: d0 /2]
RCL       word mem,1               [rm: 66 d1 /2]
RCL       dword mem,1              [rm: d1 /2]
RCL       qword mem,1              [rm: 48 d1 /2]                      X86_64
RCL       byte mem,imm8            [rmi: c0 /2 ib]
RCL       word mem,imm8            [rmi: 66 c1 /2 ib]
RCL       dword mem,imm8           [rmi: c1 /2 ib]
RCL       qword mem,imm8           [rmi: 48 c1 /2 ib]                  X86_64
RCL       byte mem,cl              [rm: d2 /2]
RCL       word mem,cl              [rm: 66 d3 /2]
RCL       dword mem,cl             [rm: d3 /2]
RCL       qword mem,cl             [rm: 48 d3 /2]                      X86_64

; (rcr /3, rol /0, ror /1, sal/shl /4, sar /7, shr /5 - аналогично)
RCR       reg8,1                   [rm: d0 /3]
RCR       reg16,1                  [rm: 66 d1 /3]
RCR       reg32,1                  [rm: d1 /3]
RCR       reg64,1                  [rm: 48 d1 /3]
RCR       reg8,imm8                [rmi: c0 /3 ib]
RCR       reg16,imm8               [rmi: 66 c1 /3 ib]
RCR       reg32,imm8               [rmi: c1 /3 ib]
RCR       reg64,imm8               [rmi: 48 c1 /3 ib]
RCR       reg8,cl                  [rm: d2 /3]
RCR       reg16,cl                 [rm: 66 d3 /3]
RCR       reg32,cl                 [rm: d3 /3]
RCR       reg64,cl                 [rm: 48 d3 /3]
; memory - also

ROL       reg8,1                   [rm: d0 /0]
ROL       reg16,1                  [rm: 66 d1 /0]
ROL       reg32,1                  [rm: d1 /0]
ROL       reg64,1                  [rm: 48 d1 /0]
ROL       reg8,imm8                [rmi: c0 /0 ib]
ROL       reg16,imm8               [rmi: 66 c1 /0 ib]
ROL       reg32,imm8               [rmi: c1 /0 ib]
ROL       reg64,imm8               [rmi: 48 c1 /0 ib]
ROL       reg8,cl                  [rm: d2 /0]
ROL       reg16,cl                 [rm: 66 d3 /0]
ROL       reg32,cl                 [rm: d3 /0]
ROL       reg64,cl                 [rm: 48 d3 /0]

ROR       reg8,1                   [rm: d0 /1]
ROR       reg16,1                  [rm: 66 d1 /1]
ROR       reg32,1                  [rm: d1 /1]
ROR       reg64,1                  [rm: 48 d1 /1]
ROR       reg8,imm8                [rmi: c0 /1 ib]
ROR       reg16,imm8               [rmi: 66 c1 /1 ib]
ROR       reg32,imm8               [rmi: c1 /1 ib]
ROR       reg64,imm8               [rmi: 48 c1 /1 ib]
ROR       reg8,cl                  [rm: d2 /1]
ROR       reg16,cl                 [rm: 66 d3 /1]
ROR       reg32,cl                 [rm: d3 /1]
ROR       reg64,cl                 [rm: 48 d3 /1]

SAL       reg8,1                   [rm: d0 /4]
SAL       reg16,1                  [rm: 66 d1 /4]
SAL       reg32,1                  [rm: d1 /4]
SAL       reg64,1                  [rm: 48 d1 /4]
SAL       reg8,imm8                [rmi: c0 /4 ib]
SAL       reg16,imm8               [rmi: 66 c1 /4 ib]
SAL       reg32,imm8               [rmi: c1 /4 ib]
SAL       reg64,imm8               [rmi: 48 c1 /4 ib]
SAL       reg8,cl                  [rm: d2 /4]
SAL       reg16,cl                 [rm: 66 d3 /4]
SAL       reg32,cl                 [rm: d3 /4]
SAL       reg64,cl                 [rm: 48 d3 /4]

SHL       reg8,1                   [rm: d0 /4]
SHL       reg16,1                  [rm: 66 d1 /4]
SHL       reg32,1                  [rm: d1 /4]
SHL       reg64,1                  [rm: 48 d1 /4]
SHL       reg8,imm8                [rmi: c0 /4 ib]
SHL       reg16,imm8               [rmi: 66 c1 /4 ib]
SHL       reg32,imm8               [rmi: c1 /4 ib]
SHL       reg64,imm8               [rmi: 48 c1 /4 ib]
SHL       reg8,cl                  [rm: d2 /4]
SHL       reg16,cl                 [rm: 66 d3 /4]
SHL       reg32,cl                 [rm: d3 /4]
SHL       reg64,cl                 [rm: 48 d3 /4]

SHR       reg8,1                   [rm: d0 /5]
SHR       reg16,1                  [rm: 66 d1 /5]
SHR       reg32,1                  [rm: d1 /5]
SHR       reg64,1                  [rm: 48 d1 /5]
SHR       reg8,imm8                [rmi: c0 /5 ib]
SHR       reg16,imm8               [rmi: 66 c1 /5 ib]
SHR       reg32,imm8               [rmi: c1 /5 ib]
SHR       reg64,imm8               [rmi: 48 c1 /5 ib]
SHR       reg8,cl                  [rm: d2 /5]
SHR       reg16,cl                 [rm: 66 d3 /5]
SHR       reg32,cl                 [rm: d3 /5]
SHR       reg64,cl                 [rm: 48 d3 /5]

SAR       reg8,1                   [rm: d0 /7]
SAR       reg16,1                  [rm: 66 d1 /7]
SAR       reg32,1                  [rm: d1 /7]
SAR       reg64,1                  [rm: 48 d1 /7]
SAR       reg8,imm8                [rmi: c0 /7 ib]
SAR       reg16,imm8               [rmi: 66 c1 /7 ib]
SAR       reg32,imm8               [rmi: c1 /7 ib]
SAR       reg64,imm8               [rmi: 48 c1 /7 ib]
SAR       reg8,cl                  [rm: d2 /7]
SAR       reg16,cl                 [rm: 66 d3 /7]
SAR       reg32,cl                 [rm: d3 /7]
SAR       reg64,cl                 [rm: 48 d3 /7]

; --- Unary (Group 3) -------------------------------------------------------
NOT       reg8                     [rm: f6 /2]
NOT       reg16                    [rm: 66 f7 /2]
NOT       reg32                    [rm: f7 /2]
NOT       reg64                    [rm: 48 f7 /2]                      X86_64
NOT       byte mem                 [rm: f6 /2]
NOT       word mem                 [rm: 66 f7 /2]
NOT       dword mem                [rm: f7 /2]
NOT       qword mem                [rm: 48 f7 /2]                      X86_64

NEG       reg8                     [rm: f6 /3]
NEG       reg16                    [rm: 66 f7 /3]
NEG       reg32                    [rm: f7 /3]
NEG       reg64                    [rm: 48 f7 /3]                      X86_64
NEG       byte mem                 [rm: f6 /3]
NEG       word mem                 [rm: 66 f7 /3]
NEG       dword mem                [rm: f7 /3]
NEG       qword mem                [rm: 48 f7 /3]                      X86_64

MUL       reg8                     [rm: f6 /4]
MUL       reg16                    [rm: 66 f7 /4]
MUL       reg32                    [rm: f7 /4]
MUL       reg64                    [rm: 48 f7 /4]                      X86_64
MUL       byte mem                 [rm: f6 /4]
MUL       word mem                 [rm: 66 f7 /4]
MUL       dword mem                [rm: f7 /4]
MUL       qword mem                [rm: 48 f7 /4]                      X86_64

; --- TEST ------------------------------------------------------------------
TEST      reg8,reg8                [rm: 84 /r]
TEST      reg16,reg16              [rm: 66 85 /r]
TEST      reg32,reg32              [rm: 85 /r]
TEST      reg64,reg64              [rm: 48 85 /r]                      X86_64
TEST      reg8,imm8                [rmi: f6 /0 ib]
TEST      reg16,imm16              [rmi: 66 f7 /0 iw]
TEST      reg32,imm32              [rmi: f7 /0 id]
TEST      reg64,imm32              [rmi: 48 f7 /0 id]                  X86_64
TEST      reg8,mem8                [rm: 84 /r]
TEST      reg16,mem16              [rm: 66 85 /r]
TEST      reg32,mem32              [rm: 85 /r]
TEST      reg64,mem64              [rm: 48 85 /r]                      X86_64
TEST      mem8,reg8                [rm: 84 /r]
TEST      mem16,reg16              [rm: 66 85 /r]
TEST      mem32,reg32              [rm: 85 /r]
TEST      mem64,reg64              [rm: 48 85 /r]                      X86_64
TEST      byte mem,imm8            [rmi: f6 /0 ib]
TEST      word mem,imm16           [rmi: 66 f7 /0 iw]
TEST      dword mem,imm32          [rmi: f7 /0 id]
TEST      qword mem,imm32          [rmi: 48 f7 /0 id]                  X86_64

; --- IMUL ------------------------------------------------------------------
IMUL      reg8                     [rm: f6 /5]
IMUL      reg16                    [rm: 66 f7 /5]
IMUL      reg32                    [rm: f7 /5]
IMUL      reg64                    [rm: 48 f7 /5]                      X86_64
IMUL      reg16,reg16              [rm: 66 0f af /r]
IMUL      reg32,reg32              [rm: 0f af /r]
IMUL      reg64,reg64              [rm: 48 0f af /r]                   X86_64
IMUL      reg16,reg16,imm8         [rmi: 66 6b /r ib]
IMUL      reg32,reg32,imm8         [rmi: 6b /r ib]
IMUL      reg64,reg64,imm8         [rmi: 48 6b /r ib]                  X86_64
IMUL      reg16,reg16,imm16        [rmi: 66 69 /r iw]
IMUL      reg32,reg32,imm32        [rmi: 69 /r id]
IMUL      reg64,reg64,imm32        [rmi: 48 69 /r id]                  X86_64
IMUL      reg16,imm16              [rmi: 66 69 /r iw]                  ; == IMUL reg,reg,imm
IMUL      reg32,imm32              [rmi: 69 /r id]
IMUL      reg64,imm32              [rmi: 48 69 /r id]

; --- DIV / IDIV ------------------------------------------------------------
DIV       reg8                     [rm: f6 /6]
DIV       reg16                    [rm: 66 f7 /6]
DIV       reg32                    [rm: f7 /6]
DIV       reg64                    [rm: 48 f7 /6]                      X86_64
DIV       byte mem                 [rm: f6 /6]
DIV       word mem                 [rm: 66 f7 /6]
DIV       dword mem                [rm: f7 /6]
DIV       qword mem                [rm: 48 f7 /6]                      X86_64

IDIV      reg8                     [rm: f6 /7]
IDIV      reg16                    [rm: 66 f7 /7]
IDIV      reg32                    [rm: f7 /7]
IDIV      reg64                    [rm: 48 f7 /7]                      X86_64
IDIV      byte mem                 [rm: f6 /7]
IDIV      word mem                 [rm: 66 f7 /7]
IDIV      dword mem                [rm: f7 /7]
IDIV      qword mem                [rm: 48 f7 /7]                      X86_64

; --- INC / DEC (8-bit - Group 4, else - группа 5) ----------------
INC       reg8                     [rm: fe /0]
INC       reg16                    [rm: 66 ff /0]
INC       reg32                    [rm: ff /0]
INC       reg64                    [rm: 48 ff /0]                      X86_64
INC       byte mem                 [rm: fe /0]
INC       word mem                 [rm: 66 ff /0]
INC       dword mem                [rm: ff /0]
INC       qword mem                [rm: 48 ff /0]                      X86_64

DEC       reg8                     [rm: fe /1]
DEC       reg16                    [rm: 66 ff /1]
DEC       reg32                    [rm: ff /1]
DEC       reg64                    [rm: 48 ff /1]                      X86_64
DEC       byte mem                 [rm: fe /1]
DEC       word mem                 [rm: 66 ff /1]
DEC       dword mem                [rm: ff /1]
DEC       qword mem                [rm: 48 ff /1]                      X86_64

; --- PUSH / POP ------------------------------------------------------------
PUSH      reg16                    [r: 66 50+r]
PUSH      reg64                    [r: 50+r]                           X86_64
PUSH      word mem                 [rm: 66 ff /6]
PUSH      qword mem                [rm: ff /6]                         X86_64

POP       reg16                    [r: 66 58+r]
POP       reg64                    [r: 58+r]                           X86_64

; --- LEA -------------------------------------------------------------------
LEA       reg64,mem                [rm: 48 8d /r]                      X86_64

; --- XCHG ------------------------------------------------------------------
XCHG      reg8,reg8                [rm: 86 /r]
XCHG      reg16,reg16              [rm: 66 87 /r]
XCHG      reg32,reg32              [rm: 87 /r]
XCHG      reg64,reg64              [rm: 48 87 /r]                      X86_64
XCHG      reg64,mem64              [rm: 48 87 /r]                      X86_64
XCHG      mem64,reg64              [rm: 48 87 /r]                      X86_64
XCHG      reg32,mem32              [rm: 87 /r]
XCHG      mem32,reg32              [rm: 87 /r]
XCHG      reg16,mem16              [rm: 66 87 /r]
XCHG      mem16,reg16              [rm: 66 87 /r]
XCHG      reg8,mem8                [rm: 86 /r]
XCHG      mem8,reg8                [rm: 86 /r]
XCHG      rax,reg64                [r: 48 90+r]                        X86_64

; --- JMP / CALL ------------------------------------------------------------
JMP       rel32                    [d: e9]                             
JMP       reg64                    [rm: 48 ff /4]                      X86_64
JMP       qword mem                [rm: 48 ff /4]                      X86_64
CALL      rel32                    [d: e8]
CALL      reg64                    [rm: 48 ff /2]                      X86_64
CALL      qword mem                [rm: 48 ff /2]                      X86_64

; --- Jcc (conditional) -----------------------------------------------------
JE        rel32                    [d: 0f 84]
JZ        rel32                    [d: 0f 84]
JNE       rel32                    [d: 0f 85]
JNZ       rel32                    [d: 0f 85]
JL        rel32                    [d: 0f 8c]
JGE       rel32                    [d: 0f 8d]
JLE       rel32                    [d: 0f 8e]
JG        rel32                    [d: 0f 8f]
JB        rel32                    [d: 0f 82]
JC        rel32                    [d: 0f 82]
JA        rel32                    [d: 0f 87]
JAE       rel32                    [d: 0f 83]
JBE       rel32                    [d: 0f 86]

; --- MOVZX / MOVSX ---------------------------------------------------------
MOVZX     reg16,reg8               [rm: 66 0f b6 /r]
MOVZX     reg32,reg8               [rm: 0f b6 /r]
MOVZX     reg64,reg8               [rm: 48 0f b6 /r]                   X86_64
MOVZX     reg32,reg16              [rm: 0f b7 /r]
MOVZX     reg64,reg16              [rm: 48 0f b7 /r]                   X86_64
MOVZX     reg16,mem8               [rm: 66 0f b6 /r]
MOVZX     reg32,mem8               [rm: 0f b6 /r]
MOVZX     reg64,mem8               [rm: 48 0f b6 /r]
MOVZX     reg32,mem16              [rm: 0f b7 /r]
MOVZX     reg64,mem16              [rm: 48 0f b7 /r]

MOVSX     reg16,reg8               [rm: 66 0f be /r]
MOVSX     reg32,reg8               [rm: 0f be /r]
MOVSX     reg64,reg8               [rm: 48 0f be /r]                   X86_64
MOVSX     reg32,reg16              [rm: 0f bf /r]
MOVSX     reg64,reg16              [rm: 48 0f bf /r]                   X86_64
MOVSX     reg16,mem8               [rm: 66 0f be /r]
MOVSX     reg32,mem8               [rm: 0f be /r]
MOVSX     reg64,mem8               [rm: 48 0f be /r]
MOVSX     reg32,mem16              [rm: 0f bf /r]
MOVSX     reg64,mem16              [rm: 48 0f bf /r]

; --- BSF / BSR -------------------------------------------------------------
BSF       reg16,reg16              [rm: 66 0f bc /r]
BSF       reg32,reg32              [rm: 0f bc /r]
BSF       reg64,reg64              [rm: 48 0f bc /r]                   X86_64
BSF       reg16,mem16              [rm: 66 0f bc /r]
BSF       reg32,mem32              [rm: 0f bc /r]
BSF       reg64,mem64              [rm: 48 0f bc /r]                   X86_64

BSR       reg16,reg16              [rm: 66 0f bd /r]
BSR       reg32,reg32              [rm: 0f bd /r]
BSR       reg64,reg64              [rm: 48 0f bd /r]                   X86_64
BSR       reg16,mem16              [rm: 66 0f bd /r]
BSR       reg32,mem32              [rm: 0f bd /r]
BSR       reg64,mem64              [rm: 48 0f bd /r]                   X86_64

; --- CMOVcc ----------------------------------------------------------------
CMOVcc    reg16,reg16              [rm: 66 0f 4x /r]     (x-код условия)
CMOVcc    reg32,reg32              [rm: 0f 4x /r]
CMOVcc    reg64,reg64              [rm: 48 0f 4x /r]                   X86_64
CMOVcc    reg16,mem16              [rm: 66 0f 4x /r]
CMOVcc    reg32,mem32              [rm: 0f 4x /r]
CMOVcc    reg64,mem64              [rm: 48 0f 4x /r]                   X86_64

; (code: a/47, ae/43, b/42, be/46, c/42, e/44, g/4f, ge/4d, l/4c, le/4e,
;  na/46, nae/42, nb/43, nbe/47, nc/43, ne/45, ng/4e, nge/4c, nl/4d,
;  nle/4f, no/41, np/4b, ns/49, nz/45, o/40, p/4a, pe/4a, po/4b, s/48, z/44)

; --- SETcc -----------------------------------------------------------------
SETcc     reg8                     [rm: 0f 9x /r]     (x-код)
SETcc     byte mem                 [rm: 0f 9x /r]

; --- Знаковые расширения (без операндов) -----------------------------------
CBW                                [oi: 66 98]
CWDE                               [oi: 98]
CDQE                               [oi: 48 98]                         X86_64
CWD                                [oi: 66 99]
CDQ                                [oi: 99]
CQO                                [oi: 48 99]                         X86_64

; --- Else zero operand Instructions ---------------------------------------
SYSCALL                            [oi: 0f 05]
RET                                [oi: c3]
NOP                                [oi: 90]
CLC                                [oi: f8]
STC                                [oi: f9]
CMC                                [oi: f5]
CLD                                [oi: fc]
STD                                [oi: fd]
CLI                                [oi: fa]
STI                                [oi: fb]
LAHF                               [oi: 9f]
SAHF                               [oi: 9e]
PUSHF                              [oi: 9c]
PUSHFQ                             [oi: 9c]
POPF                               [oi: 9d]
POPFQ                              [oi: 9d]
LEAVE                              [oi: c9]
IRET                               [oi: cf]
IRETQ                              [oi: cf]
CPUID                              [oi: 0f a2]
HLT                                [oi: f4]
WAIT                               [oi: 9b]
FWAIT                              [oi: 9b]
PAUSE                              [oi: f3 90]
UD2                                [oi: 0f 0b]
LFENCE                             [oi: 0f ae e8]
RDTSM                              [oi: 0f 31]
RDTSCP                             [oi: 0f 01 f9]
RDPRU                              [oi: 0f 01 fd]

; --- SSE -------------------------------------------------------------------
MOVAPS    xmmreg,xmmreg            [rm: 0f 28 /r]                       SSE
MOVAPS    xmmreg,mem128            [rm: 0f 28 /r]                       SSE
MOVAPS    mem128,xmmreg            [rm: 0f 29 /r]                       SSE
MOVUPS    xmmreg,xmmreg            [rm: 0f 10 /r]                       SSE
MOVUPS    xmmreg,mem128            [rm: 0f 10 /r]                       SSE
MOVUPS    mem128,xmmreg            [rm: 0f 11 /r]                       SSE
XORPS     xmmreg,xmmreg            [rm: 0f 57 /r]                       SSE
XORPS     xmmreg,mem128            [rm: 0f 57 /r]                       SSE
ANDPS     xmmreg,xmmreg            [rm: 0f 54 /r]                       SSE
ANDPS     xmmreg,mem128            [rm: 0f 54 /r]                       SSE
ANDNPS    xmmreg,xmmreg            [rm: 0f 55 /r]                       SSE
ANDNPS    xmmreg,mem128            [rm: 0f 55 /r]                       SSE
ORPS      xmmreg,xmmreg            [rm: 0f 56 /r]                       SSE
ORPS      xmmreg,mem128            [rm: 0f 56 /r]                       SSE
ADDPS     xmmreg,xmmreg            [rm: 0f 58 /r]                       SSE
ADDPS     xmmreg,mem128            [rm: 0f 58 /r]                       SSE
SUBPS     xmmreg,xmmreg            [rm: 0f 5c /r]                       SSE
SUBPS     xmmreg,mem128            [rm: 0f 5c /r]                       SSE
